ORDERNUMBER,PRODUCTCODE,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,CREATE_TIMESTAMP,UPDATE_TIMESTAMP
10100,S18_1749,30,136,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10100,S18_2248,50,55.09,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10100,S24_3969,49,35.29,1,2005-06-09 12:00:00,2005-06-09 12:00:00
10101,S18_2325,25,108.06,4,2005-06-09 12:00:00,2005-06-09 12:00:00
10101,S18_2795,26,167.06,1,2005-06-09 12:00:00,2005-06-09 12:00:00
10101,S24_1937,45,32.53,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10102,S18_1342,39,95.55,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10102,S18_1367,41,43.13,1,2005-06-09 12:00:00,2005-06-09 12:00:00
10103,S10_1949,26,214.3,11,2005-06-09 12:00:00,2005-06-09 12:00:00
10103,S10_4962,42,119.67,4,2005-06-09 12:00:00,2005-06-09 12:00:00
10103,S18_1097,35,94.5,10,2005-06-09 12:00:00,2005-06-09 12:00:00
10103,S18_2432,22,58.34,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10103,S18_2949,27,92.19,12,2005-06-09 12:00:00,2005-06-09 12:00:00
10103,S18_2957,35,61.84,14,2005-06-09 12:00:00,2005-06-09 12:00:00
10103,S18_3320,46,86.31,16,2005-06-09 12:00:00,2005-06-09 12:00:00
10103,S18_4600,36,98.07,5,2005-06-09 12:00:00,2005-06-09 12:00:00
10103,S18_4668,41,40.75,9,2005-06-09 12:00:00,2005-06-09 12:00:00
10103,S24_2300,36,107.34,1,2005-06-09 12:00:00,2005-06-09 12:00:00
10103,S32_1268,31,92.46,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10103,S32_3522,45,63.35,7,2005-06-09 12:00:00,2005-06-09 12:00:00
10103,S700_2824,42,94.07,6,2005-06-09 12:00:00,2005-06-09 12:00:00
10104,S12_4473,41,111.39,9,2005-06-09 12:00:00,2005-06-09 12:00:00
10104,S18_2238,24,135.9,8,2005-06-09 12:00:00,2005-06-09 12:00:00
10104,S18_2319,29,122.73,12,2005-06-09 12:00:00,2005-06-09 12:00:00
10104,S18_3232,23,165.95,13,2005-06-09 12:00:00,2005-06-09 12:00:00
10104,S24_1444,35,52.02,6,2005-06-09 12:00:00,2005-06-09 12:00:00
10104,S24_2840,44,30.41,10,2005-06-09 12:00:00,2005-06-09 12:00:00
10104,S24_4048,26,106.45,5,2005-06-09 12:00:00,2005-06-09 12:00:00
10104,S32_2509,35,51.95,11,2005-06-09 12:00:00,2005-06-09 12:00:00
10104,S50_1392,33,114.59,7,2005-06-09 12:00:00,2005-06-09 12:00:00
10104,S50_1514,32,53.31,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10105,S10_4757,50,127.84,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10105,S12_1108,41,205.72,15,2005-06-09 12:00:00,2005-06-09 12:00:00
10105,S18_3140,22,136.59,11,2005-06-09 12:00:00,2005-06-09 12:00:00
10105,S18_3259,38,87.73,13,2005-06-09 12:00:00,2005-06-09 12:00:00
10105,S18_4522,41,75.48,10,2005-06-09 12:00:00,2005-06-09 12:00:00
10105,S24_2011,43,117.97,9,2005-06-09 12:00:00,2005-06-09 12:00:00
10105,S24_3816,50,75.47,1,2005-06-09 12:00:00,2005-06-09 12:00:00
10105,S700_1138,41,54,5,2005-06-09 12:00:00,2005-06-09 12:00:00
10105,S700_1938,29,86.61,12,2005-06-09 12:00:00,2005-06-09 12:00:00
10105,S700_2610,31,60.72,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10105,S700_3962,22,99.31,7,2005-06-09 12:00:00,2005-06-09 12:00:00
10105,S72_3212,25,44.77,8,2005-06-09 12:00:00,2005-06-09 12:00:00
10106,S18_1662,36,134.04,12,2005-06-09 12:00:00,2005-06-09 12:00:00
10106,S18_2581,34,81.1,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10106,S18_3856,41,94.22,17,2005-06-09 12:00:00,2005-06-09 12:00:00
10106,S24_1785,28,107.23,4,2005-06-09 12:00:00,2005-06-09 12:00:00
10106,S24_2841,49,65.77,13,2005-06-09 12:00:00,2005-06-09 12:00:00
10106,S24_3420,31,55.89,14,2005-06-09 12:00:00,2005-06-09 12:00:00
10106,S24_4278,26,71,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10106,S32_4289,33,65.35,5,2005-06-09 12:00:00,2005-06-09 12:00:00
10106,S50_1341,39,35.78,6,2005-06-09 12:00:00,2005-06-09 12:00:00
10106,S700_1691,31,91.34,7,2005-06-09 12:00:00,2005-06-09 12:00:00
10106,S700_2466,34,99.72,9,2005-06-09 12:00:00,2005-06-09 12:00:00
10106,S700_2834,32,113.9,1,2005-06-09 12:00:00,2005-06-09 12:00:00
10106,S700_3167,44,76,8,2005-06-09 12:00:00,2005-06-09 12:00:00
10106,S700_4002,48,70.33,10,2005-06-09 12:00:00,2005-06-09 12:00:00
10107,S10_1678,30,81.35,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10107,S10_2016,39,105.86,5,2005-06-09 12:00:00,2005-06-09 12:00:00
10107,S10_4698,27,172.36,4,2005-06-09 12:00:00,2005-06-09 12:00:00
10107,S12_2823,21,122,1,2005-06-09 12:00:00,2005-06-09 12:00:00
10107,S24_1578,25,96.92,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10107,S24_2000,38,73.12,7,2005-06-09 12:00:00,2005-06-09 12:00:00
10107,S32_1374,20,88.9,8,2005-06-09 12:00:00,2005-06-09 12:00:00
10108,S12_1099,33,165.38,6,2005-06-09 12:00:00,2005-06-09 12:00:00
10108,S12_3990,39,75.81,7,2005-06-09 12:00:00,2005-06-09 12:00:00
10108,S12_4675,36,107.1,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10108,S18_1889,38,67.76,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10108,S18_3482,29,132.29,8,2005-06-09 12:00:00,2005-06-09 12:00:00
10108,S18_3782,43,52.84,12,2005-06-09 12:00:00,2005-06-09 12:00:00
10108,S18_4721,44,139.87,11,2005-06-09 12:00:00,2005-06-09 12:00:00
10108,S24_2360,35,64.41,15,2005-06-09 12:00:00,2005-06-09 12:00:00
10108,S24_4620,31,67.1,10,2005-06-09 12:00:00,2005-06-09 12:00:00
10108,S32_4485,31,87.76,16,2005-06-09 12:00:00,2005-06-09 12:00:00
10108,S50_4713,34,74.85,14,2005-06-09 12:00:00,2005-06-09 12:00:00
10109,S18_1984,38,137.98,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10109,S18_3685,47,125.74,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10109,S24_2972,29,32.1,6,2005-06-09 12:00:00,2005-06-09 12:00:00
10110,S18_1749,42,153,7,2005-06-09 12:00:00,2005-06-09 12:00:00
10110,S18_2248,32,51.46,6,2005-06-09 12:00:00,2005-06-09 12:00:00
10110,S18_4409,28,81.91,8,2005-06-09 12:00:00,2005-06-09 12:00:00
10110,S18_4933,42,62,9,2005-06-09 12:00:00,2005-06-09 12:00:00
10110,S24_1628,29,43.27,15,2005-06-09 12:00:00,2005-06-09 12:00:00
10110,S24_1937,20,28.88,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10110,S24_2887,46,112.74,10,2005-06-09 12:00:00,2005-06-09 12:00:00
10110,S24_3432,37,96.37,14,2005-06-09 12:00:00,2005-06-09 12:00:00
10110,S24_3969,48,35.29,5,2005-06-09 12:00:00,2005-06-09 12:00:00
10111,S18_1367,48,48.52,5,2005-06-09 12:00:00,2005-06-09 12:00:00
10111,S18_3320,39,91.27,4,2005-06-09 12:00:00,2005-06-09 12:00:00
10111,S24_4258,26,85.7,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10112,S18_2949,23,85.1,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10113,S12_1666,21,121.64,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10113,S32_3522,23,58.82,1,2005-06-09 12:00:00,2005-06-09 12:00:00
10114,S18_2319,39,106.78,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10114,S18_2432,45,53.48,6,2005-06-09 12:00:00,2005-06-09 12:00:00
10114,S18_4600,41,105.34,9,2005-06-09 12:00:00,2005-06-09 12:00:00
10114,S32_1268,32,88.61,7,2005-06-09 12:00:00,2005-06-09 12:00:00
10114,S32_2509,28,43.83,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10115,S12_4473,46,111.39,5,2005-06-09 12:00:00,2005-06-09 12:00:00
10115,S18_2238,46,140.81,4,2005-06-09 12:00:00,2005-06-09 12:00:00
10115,S50_1392,27,100.7,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10117,S12_1108,33,195.33,9,2005-06-09 12:00:00,2005-06-09 12:00:00
10117,S12_3148,43,148.06,10,2005-06-09 12:00:00,2005-06-09 12:00:00
10117,S18_3140,26,121.57,5,2005-06-09 12:00:00,2005-06-09 12:00:00
10117,S18_4522,23,73.73,4,2005-06-09 12:00:00,2005-06-09 12:00:00
10117,S24_2011,41,119.2,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10117,S700_1938,38,75.35,6,2005-06-09 12:00:00,2005-06-09 12:00:00
10117,S700_3962,45,89.38,1,2005-06-09 12:00:00,2005-06-09 12:00:00
10119,S10_4757,46,112.88,11,2005-06-09 12:00:00,2005-06-09 12:00:00
10119,S18_3029,21,74.84,9,2005-06-09 12:00:00,2005-06-09 12:00:00
10119,S18_3856,27,95.28,8,2005-06-09 12:00:00,2005-06-09 12:00:00
10119,S24_3151,35,72.58,13,2005-06-09 12:00:00,2005-06-09 12:00:00
10119,S24_3949,28,62.1,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10119,S700_1138,25,57.34,14,2005-06-09 12:00:00,2005-06-09 12:00:00
10119,S700_2610,38,67.22,12,2005-06-09 12:00:00,2005-06-09 12:00:00
10119,S72_1253,28,40.22,6,2005-06-09 12:00:00,2005-06-09 12:00:00
10120,S10_4698,46,158.8,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10120,S18_2581,29,82.79,8,2005-06-09 12:00:00,2005-06-09 12:00:00
10120,S24_1578,35,110.45,1,2005-06-09 12:00:00,2005-06-09 12:00:00
10120,S24_4278,29,71.73,9,2005-06-09 12:00:00,2005-06-09 12:00:00
10120,S32_1374,22,94.9,6,2005-06-09 12:00:00,2005-06-09 12:00:00
10120,S50_1341,49,41.46,12,2005-06-09 12:00:00,2005-06-09 12:00:00
10120,S700_1691,47,91.34,13,2005-06-09 12:00:00,2005-06-09 12:00:00
10120,S700_3167,43,72,14,2005-06-09 12:00:00,2005-06-09 12:00:00
10121,S12_2823,50,126.52,4,2005-06-09 12:00:00,2005-06-09 12:00:00
10121,S24_2360,32,58.18,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10121,S50_4713,44,72.41,1,2005-06-09 12:00:00,2005-06-09 12:00:00
10122,S12_3990,32,65.44,11,2005-06-09 12:00:00,2005-06-09 12:00:00
10122,S12_4675,20,104.8,7,2005-06-09 12:00:00,2005-06-09 12:00:00
10122,S18_1889,43,62.37,6,2005-06-09 12:00:00,2005-06-09 12:00:00
10122,S18_1984,31,113.8,1,2005-06-09 12:00:00,2005-06-09 12:00:00
10122,S18_3482,21,133.76,12,2005-06-09 12:00:00,2005-06-09 12:00:00
10122,S18_4721,28,145.82,15,2005-06-09 12:00:00,2005-06-09 12:00:00
10122,S24_2972,39,34.74,4,2005-06-09 12:00:00,2005-06-09 12:00:00
10122,S24_3856,43,136.22,5,2005-06-09 12:00:00,2005-06-09 12:00:00
10123,S18_1589,26,120.71,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10123,S18_2870,46,114.84,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10123,S24_1628,50,43.27,1,2005-06-09 12:00:00,2005-06-09 12:00:00
10124,S18_1749,21,153,6,2005-06-09 12:00:00,2005-06-09 12:00:00
10124,S18_4409,36,75.46,7,2005-06-09 12:00:00,2005-06-09 12:00:00
10124,S24_1046,22,62.47,12,2005-06-09 12:00:00,2005-06-09 12:00:00
10124,S24_1937,45,30.53,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10124,S24_2766,32,74.51,10,2005-06-09 12:00:00,2005-06-09 12:00:00
10124,S24_3432,43,101.73,13,2005-06-09 12:00:00,2005-06-09 12:00:00
10124,S24_3969,46,36.11,4,2005-06-09 12:00:00,2005-06-09 12:00:00
10125,S18_2795,34,138.38,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10126,S10_1949,38,205.73,11,2005-06-09 12:00:00,2005-06-09 12:00:00
10126,S18_1097,38,116.67,10,2005-06-09 12:00:00,2005-06-09 12:00:00
10126,S18_2432,43,51.05,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10126,S18_2949,31,93.21,12,2005-06-09 12:00:00,2005-06-09 12:00:00
10126,S18_3136,30,93.2,13,2005-06-09 12:00:00,2005-06-09 12:00:00
10126,S18_4668,43,47.29,9,2005-06-09 12:00:00,2005-06-09 12:00:00
10126,S24_2300,27,122.68,1,2005-06-09 12:00:00,2005-06-09 12:00:00
10126,S32_1268,43,82.83,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10126,S32_3522,26,62.05,7,2005-06-09 12:00:00,2005-06-09 12:00:00
10127,S12_3148,46,140.5,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10127,S12_4473,24,100.73,11,2005-06-09 12:00:00,2005-06-09 12:00:00
10127,S18_2238,45,140.81,10,2005-06-09 12:00:00,2005-06-09 12:00:00
10127,S18_2319,45,114.14,14,2005-06-09 12:00:00,2005-06-09 12:00:00
10127,S18_3232,22,149.02,15,2005-06-09 12:00:00,2005-06-09 12:00:00
10127,S24_1444,20,50.86,8,2005-06-09 12:00:00,2005-06-09 12:00:00
10127,S24_2840,39,34.3,12,2005-06-09 12:00:00,2005-06-09 12:00:00
10127,S24_4048,20,107.63,7,2005-06-09 12:00:00,2005-06-09 12:00:00
10127,S32_2509,45,46.53,13,2005-06-09 12:00:00,2005-06-09 12:00:00
10127,S50_1392,46,111.12,9,2005-06-09 12:00:00,2005-06-09 12:00:00
10127,S50_1514,46,55.65,4,2005-06-09 12:00:00,2005-06-09 12:00:00
10128,S18_3140,41,120.2,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10128,S18_3259,41,80.67,4,2005-06-09 12:00:00,2005-06-09 12:00:00
10128,S700_1938,32,72.75,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10129,S10_4757,33,123.76,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10129,S24_2011,45,113.06,9,2005-06-09 12:00:00,2005-06-09 12:00:00
10129,S24_3151,41,81.43,4,2005-06-09 12:00:00,2005-06-09 12:00:00
10129,S700_1138,31,58.67,5,2005-06-09 12:00:00,2005-06-09 12:00:00
10129,S700_2610,45,72.28,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10129,S700_3505,42,90.15,6,2005-06-09 12:00:00,2005-06-09 12:00:00
10129,S700_3962,30,94.34,7,2005-06-09 12:00:00,2005-06-09 12:00:00
10130,S18_3029,40,68.82,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10130,S18_3856,33,99.52,1,2005-06-09 12:00:00,2005-06-09 12:00:00
10131,S18_1662,21,141.92,4,2005-06-09 12:00:00,2005-06-09 12:00:00
10131,S24_3420,29,52.6,6,2005-06-09 12:00:00,2005-06-09 12:00:00
10131,S24_3949,50,54.59,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10131,S700_2047,22,76.94,8,2005-06-09 12:00:00,2005-06-09 12:00:00
10131,S700_2466,40,86.76,1,2005-06-09 12:00:00,2005-06-09 12:00:00
10131,S72_1253,21,40.22,7,2005-06-09 12:00:00,2005-06-09 12:00:00
10132,S700_3167,36,80,1,2005-06-09 12:00:00,2005-06-09 12:00:00
10133,S18_2581,49,80.26,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10133,S24_1785,41,109.42,5,2005-06-09 12:00:00,2005-06-09 12:00:00
10133,S32_1374,23,80.91,1,2005-06-09 12:00:00,2005-06-09 12:00:00
10133,S32_4289,49,67.41,6,2005-06-09 12:00:00,2005-06-09 12:00:00
10133,S50_1341,27,37.09,7,2005-06-09 12:00:00,2005-06-09 12:00:00
10133,S700_1691,24,76.73,8,2005-06-09 12:00:00,2005-06-09 12:00:00
10134,S10_1678,41,90.92,2,2005-06-09 12:00:00,2005-06-09 12:00:00
10134,S10_2016,27,116.56,5,2005-06-09 12:00:00,2005-06-09 12:00:00
10134,S10_4698,31,187.85,4,2005-06-09 12:00:00,2005-06-09 12:00:00
10134,S12_2823,20,131.04,1,2005-06-09 12:00:00,2005-06-09 12:00:00
10134,S24_1578,35,94.67,3,2005-06-09 12:00:00,2005-06-09 12:00:00
10134,S24_2000,43,75.41,7,2005-06-09 12:00:00,2005-06-09 12:00:00
