ORDERNUMBER,ORDERDATE,REQUIREDDATE,SHIPPEDDATE,STATUS,CUSTOMERNUMBER,CREATE_TIMESTAMP,UPDATE_TIMESTAMP,CANCELLEDDATE
10100,2003-01-06 00:00:00,2003-01-13 00:00:00,2003-01-10 00:00:00,Shipped,363,2005-06-09 12:00:00,2005-06-09 12:00:00,
10101,2003-01-09 00:00:00,2003-01-18 00:00:00,2003-01-11 00:00:00,Shipped,128,2005-06-09 12:00:00,2005-06-09 12:00:00,
10102,2003-01-10 00:00:00,2003-01-18 00:00:00,2003-01-14 00:00:00,Shipped,181,2005-06-09 12:00:00,2005-06-09 12:00:00,
10103,2003-01-29 00:00:00,2003-02-07 00:00:00,2003-02-02 00:00:00,Shipped,121,2005-06-09 12:00:00,2005-06-09 12:00:00,
10104,2003-01-31 00:00:00,2003-02-09 00:00:00,2003-02-01 00:00:00,Shipped,141,2005-06-09 12:00:00,2005-06-09 12:00:00,
10105,2003-02-11 00:00:00,2003-02-21 00:00:00,2003-02-12 00:00:00,Shipped,145,2005-06-09 12:00:00,2005-06-09 12:00:00,
10106,2003-02-17 00:00:00,2003-02-24 00:00:00,2003-02-21 00:00:00,Shipped,278,2005-06-09 12:00:00,2005-06-09 12:00:00,
10107,2003-02-24 00:00:00,2003-03-03 00:00:00,2003-02-26 00:00:00,Shipped,131,2005-06-09 12:00:00,2005-06-09 12:00:00,
10108,2003-03-03 00:00:00,2003-03-12 00:00:00,2003-03-08 00:00:00,Shipped,385,2005-06-09 12:00:00,2005-06-09 12:00:00,
10109,2003-03-10 00:00:00,2003-03-19 00:00:00,2003-03-11 00:00:00,Shipped,486,2005-06-09 12:00:00,2005-06-09 12:00:00,
10110,2003-03-18 00:00:00,2003-03-24 00:00:00,2003-03-20 00:00:00,Shipped,187,2005-06-09 12:00:00,2005-06-09 12:00:00,
10111,2003-03-25 00:00:00,2003-03-31 00:00:00,2003-03-30 00:00:00,Shipped,129,2005-06-09 12:00:00,2005-06-09 12:00:00,
10112,2003-03-24 00:00:00,2003-04-03 00:00:00,2003-03-29 00:00:00,Shipped,144,2005-06-09 12:00:00,2005-06-09 12:00:00,
10113,2003-03-26 00:00:00,2003-04-02 00:00:00,2003-03-27 00:00:00,Shipped,124,2005-06-09 12:00:00,2005-06-09 12:00:00,
10114,2003-04-01 00:00:00,2003-04-07 00:00:00,2003-04-02 00:00:00,Shipped,172,2005-06-09 12:00:00,2005-06-09 12:00:00,
10115,2003-04-04 00:00:00,2003-04-12 00:00:00,2003-04-07 00:00:00,Shipped,424,2005-06-09 12:00:00,2005-06-09 12:00:00,
10116,2003-04-11 00:00:00,2003-04-19 00:00:00,2003-04-13 00:00:00,Shipped,381,2005-06-09 12:00:00,2005-06-09 12:00:00,
10117,2003-04-16 00:00:00,2003-04-24 00:00:00,2003-04-17 00:00:00,Shipped,148,2005-06-09 12:00:00,2005-06-09 12:00:00,
10118,2003-04-21 00:00:00,2003-04-29 00:00:00,2003-04-26 00:00:00,Shipped,216,2005-06-09 12:00:00,2005-06-09 12:00:00,
10119,2003-04-28 00:00:00,2003-05-05 00:00:00,2003-05-02 00:00:00,Shipped,382,2005-06-09 12:00:00,2005-06-09 12:00:00,
10120,2003-04-29 00:00:00,2003-05-08 00:00:00,2003-05-01 00:00:00,Shipped,114,2005-06-09 12:00:00,2005-06-09 12:00:00,
10121,2003-05-07 00:00:00,2003-05-13 00:00:00,2003-05-13 00:00:00,Shipped,353,2005-06-09 12:00:00,2005-06-09 12:00:00,
10122,2003-05-08 00:00:00,2003-05-16 00:00:00,2003-05-13 00:00:00,Shipped,350,2005-06-09 12:00:00,2005-06-09 12:00:00,
10123,2003-05-20 00:00:00,2003-05-29 00:00:00,2003-05-22 00:00:00,Shipped,103,2005-06-09 12:00:00,2005-06-09 12:00:00,
10125,2003-05-21 00:00:00,2003-05-27 00:00:00,2003-05-24 00:00:00,Shipped,114,2005-06-09 12:00:00,2005-06-09 12:00:00,
10126,2003-05-28 00:00:00,2003-06-07 00:00:00,2003-06-02 00:00:00,Shipped,458,2005-06-09 12:00:00,2005-06-09 12:00:00,
10127,2003-06-03 00:00:00,2003-06-09 00:00:00,2003-06-06 00:00:00,Shipped,151,2005-06-09 12:00:00,2005-06-09 12:00:00,
10128,2003-06-06 00:00:00,2003-06-12 00:00:00,2003-06-11 00:00:00,Shipped,141,2005-06-09 12:00:00,2005-06-09 12:00:00,
10129,2003-06-12 00:00:00,2003-06-18 00:00:00,2003-06-14 00:00:00,Shipped,324,2005-06-09 12:00:00,2005-06-09 12:00:00,
